HGNC symbol,Gene stable ID
CSF2RA,ENSG00000292357
,ENSG00000310541
,ENSG00000310543
,ENSG00000310544
,ENSG00000310545
,ENSG00000310546
ASMTL-AS1,ENSG00000292331
,ENSG00000310547
,ENSG00000310548
,ENSG00000292349
LINC00106,ENSG00000292341
,ENSG00000310549
,ENSG00000310551
,ENSG00000310552
,ENSG00000292335
,ENSG00000310553
,ENSG00000310554
,ENSG00000310556
LINC02968,ENSG00000310540
,ENSG00000288372
,ENSG00000288288
,ENSG00000288129
LINC03015,ENSG00000288472
CD99P1,ENSG00000292362
LINC03014,ENSG00000288417
,ENSG00000288502
,ENSG00000288311
,ENSG00000288449
FAM20C,ENSG00000288499
,ENSG00000288159
,ENSG00000288431
LINC03112,ENSG00000292360
,ENSG00000310557
GTPBP6,ENSG00000292358
AMD1P2,ENSG00000292364
DPH3P2,ENSG00000292365
VAMP7,ENSG00000292366
ELOCP24,ENSG00000292367
TRPC6P1,ENSG00000292368
,ENSG00000292369
DDX11L16,ENSG00000292371
WASH6P,ENSG00000292372
,ENSG00000310550
,ENSG00000310555
WASIR1,ENSG00000292370
IL9R,ENSG00000292373
,ENSG00000310542
TSPY24P,ENSG00000215601
ZNF92P1Y,ENSG00000215603
SERBP1P2,ENSG00000225878
TSPY12P,ENSG00000236435
DUX4L19,ENSG00000258991
,ENSG00000224518
OFD1P3Y,ENSG00000231988
RBMY2HP,ENSG00000238073
,ENSG00000275866
ELOCP35,ENSG00000271595
SLC9B1P1,ENSG00000183704
USP12PY,ENSG00000232927
KDM5DP1,ENSG00000277438
DUX4L17,ENSG00000259154
,ENSG00000273863
,ENSG00000271375
ZNF736P6Y,ENSG00000224634
TUSC2P1,ENSG00000285470
PUDPP1,ENSG00000234620
,ENSG00000236690
CDRT15P10,ENSG00000273693
USP9Y,ENSG00000114374
,ENSG00000291371
RNU6-409P,ENSG00000291372
ACR,ENSG00000291368
,ENSG00000291369
SNRPA1P2,ENSG00000291370
SHANK3,ENSG00000292254
,ENSG00000223422
RNF19BPY,ENSG00000225653
TUBB1P2,ENSG00000228578
,ENSG00000275280
ACTR3BP1,ENSG00000270242
RPS24P1,ENSG00000236477
RCC2P2,ENSG00000237997
ZNF736P8Y,ENSG00000244246
EIF1AY,ENSG00000198692
BPY2,ENSG00000183753
MTND1P12,ENSG00000225433
CTBP2P1,ENSG00000235857
MTND6P1,ENSG00000223955
PABPC1P5,ENSG00000270455
RCC2P1,ENSG00000234385
SHROOM2P1,ENSG00000226863
,ENSG00000271365
DUX4L18,ENSG00000259029
ZNF736P11Y,ENSG00000215537
BPY2DP,ENSG00000229745
CHEK2P1,ENSG00000275828
ZNF886P,ENSG00000232522
OFD1P16Y,ENSG00000277519
,ENSG00000273731
ASS1P6,ENSG00000215583
SNX18P1Y,ENSG00000274162
MED14P1,ENSG00000233774
ZNF885P,ENSG00000228764
ARSFP1,ENSG00000232226
,ENSG00000224567
ZNF736P7Y,ENSG00000241200
SURF6P1,ENSG00000228518
,ENSG00000274231
ANKRD20A6P,ENSG00000274502
,ENSG00000278854
RBMY2KP,ENSG00000225809
TTTY19,ENSG00000232419
TTTY4,ENSG00000226906
,ENSG00000230025
MXRA5Y,ENSG00000235649
DUX4L16,ENSG00000258567
MTCYBP1,ENSG00000234179
,ENSG00000271309
TTTY17A,ENSG00000228240
AGPAT5P1,ENSG00000234652
,ENSG00000218410
FAM41AY1,ENSG00000224989
,ENSG00000273858
TRIM60P3Y,ENSG00000227830
MTND1P1,ENSG00000226529
,ENSG00000274837
PRRC2CP1,ENSG00000216777
ZNF736P10Y,ENSG00000216824
,ENSG00000276829
,ENSG00000283076
MTND2P3,ENSG00000234850
,ENSG00000270570
,ENSG00000223517
,ENSG00000228207
ARSDP1,ENSG00000225117
CDY4P,ENSG00000228411
UBE2V1P3,ENSG00000229518
FAM8A4P,ENSG00000232730
,ENSG00000244000
TRIM60P8Y,ENSG00000232764
MED13P1,ENSG00000236131
CYCSP46,ENSG00000227949
RNU6-303P,ENSG00000252900
,ENSG00000252689
RN7SL702P,ENSG00000243980
RNA5SP520,ENSG00000252315
RNA5SP521,ENSG00000252012
,ENSG00000273966
RNU6-109P,ENSG00000252173
RNU6-184P,ENSG00000252323
HSFY2,ENSG00000169953
GPM6BP2,ENSG00000236429
USP9YP2,ENSG00000249501
ELOCP14,ENSG00000228193
XKRYP2,ENSG00000230904
USP9YP10,ENSG00000238135
RNU1-41P,ENSG00000251970
OFD1P7Y,ENSG00000238088
MTCYBP2,ENSG00000217179
ZNF839P1,ENSG00000217896
CD24P4,ENSG00000185275
RNU6-255P,ENSG00000252766
GCGR,ENSG00000288269
,ENSG00000274282
GAPDHP19,ENSG00000234529
CLUHP1,ENSG00000238191
TAF9P1,ENSG00000226353
CDY5P,ENSG00000226449
ELOCP36,ENSG00000225896
ACTG1P2,ENSG00000229129
USP9YP23,ENSG00000223555
USP9YP27,ENSG00000235521
RNU1-128P,ENSG00000252513
TRAPPC2P3,ENSG00000224964
ELOCP6,ENSG00000225740
CDY6P,ENSG00000229138
USP9YP7,ENSG00000224485
USP9YP6,ENSG00000226116
CDY7P,ENSG00000237558
USP9YP34,ENSG00000233378
USP9YP32,ENSG00000237616
CDY8P,ENSG00000224033
ELOCP12,ENSG00000230412
TRAPPC2P8,ENSG00000225895
USP9YP15,ENSG00000233120
RNU1-95P,ENSG00000252166
USP9YP16,ENSG00000232744
ACTG1P11,ENSG00000229465
ELOCP26,ENSG00000236599
CDY9P,ENSG00000232899
TAF9P2,ENSG00000229302
CLUHP2,ENSG00000228945
,ENSG00000278391
RNA5SP522,ENSG00000251953
RNA5SP523,ENSG00000252667
TUBB1P1,ENSG00000249726
ELOCP13,ENSG00000225716
OFD1P4Y,ENSG00000229406
RNU1-48P,ENSG00000252209
USP9YP5,ENSG00000249634
XKRYP1,ENSG00000238067
ELOCP7,ENSG00000230377
USP9YP1,ENSG00000250951
GPM6BP1,ENSG00000230458
RAB9AP4,ENSG00000235479
TRAPPC2P7,ENSG00000249606
,ENSG00000267793
,ENSG00000260197
KDM5D,ENSG00000012817
MCRIP1,ENSG00000288213
PPP1R27,ENSG00000288186
HSFY1,ENSG00000172468
TGIF2LY,ENSG00000176679
CDY2A,ENSG00000182415
ZNF736P3Y,ENSG00000233126
TRIM60P9Y,ENSG00000227251
RN7SKP282,ENSG00000252633
,ENSG00000251996
RNU6-941P,ENSG00000252155
RNU6-521P,ENSG00000252472
SRIP3,ENSG00000224953
,ENSG00000274365
GOT2P5,ENSG00000233634
ATP5PFP1,ENSG00000237701
,ENSG00000273906
TRIM60P10Y,ENSG00000232976
ZNF736P2Y,ENSG00000226270
TRIM60P11Y,ENSG00000227837
,ENSG00000278602
ZNF736P1Y,ENSG00000223978
,ENSG00000278197
ZNF736P5Y,ENSG00000230819
BPY2C,ENSG00000185894
TTTY4C,ENSG00000228296
DAZ4,ENSG00000205916
CDY2B,ENSG00000129873
RNU6-1334P,ENSG00000251841
SRY,ENSG00000184895
LINC01784,ENSG00000282162
PRAMEF11,ENSG00000281934
TOMM22P2,ENSG00000232195
,ENSG00000286130
RPS4Y1,ENSG00000129824
PRAMEF30P,ENSG00000282116
HNRNPCL1,ENSG00000282175
PRAMEF2,ENSG00000282817
NAP1L1P2,ENSG00000229163
,ENSG00000278847
ZFY,ENSG00000067646
PRAMEF4,ENSG00000282584
PRAMEF10,ENSG00000282663
PRAMEF7,ENSG00000279195
EEF1A1P41,ENSG00000223600
PSMA6P1,ENSG00000215414
SFPQP1,ENSG00000224035
DPPA2P1,ENSG00000223915
RNU6-1072P,ENSG00000282338
PRAMEF29P,ENSG00000282549
DDX3Y,ENSG00000067048
PRAMEF6,ENSG00000282119
PRAMEF28P,ENSG00000282791
PRAMEF27,ENSG00000282437
HNRNPCL3,ENSG00000282559
PRAMEF25,ENSG00000282566
PRAMEF34P,ENSG00000282258
PRAMEF35P,ENSG00000282562
HNRNPCL2,ENSG00000282530
PRAMEF36P,ENSG00000282468
,ENSG00000290624
,ENSG00000282341
PRAMEF26,ENSG00000281987
HNRNPCL4,ENSG00000282095
PRAMEF9,ENSG00000282298
CASKP1,ENSG00000234059
UTY,ENSG00000183878
PRAMEF13,ENSG00000282741
PRAMEF18,ENSG00000282212
PRAMEF31P,ENSG00000282289
PRAMEF5,ENSG00000282424
PRAMEF32P,ENSG00000282216
RNU6-771P,ENSG00000282288
PRAMEF8,ENSG00000282583
PRAMEF33,ENSG00000282125
PRAMEF22,ENSG00000293551
TMSB4Y,ENSG00000154620
VCY,ENSG00000129864
DAZ3,ENSG00000187191
ARHGEF19,ENSG00000291381
,ENSG00000291405
ANO7L1,ENSG00000291404
,ENSG00000291376
CPLANE2,ENSG00000291382
MT1XP1,ENSG00000291377
FBXO42,ENSG00000291375
DAZ1,ENSG00000188120
SZRD1,ENSG00000291379
RPL22P3,ENSG00000291374
SPATA21,ENSG00000291401
NECAP2,ENSG00000291380
,ENSG00000251925
,ENSG00000286744
,ENSG00000236647
LINC01772,ENSG00000291388
AMELY,ENSG00000099721
CROCCP3,ENSG00000291402
RNU1-1,ENSG00000291389
,ENSG00000291390
,ENSG00000291391
LINC01783,ENSG00000291392
RNU1-6P,ENSG00000291393
PDE4DIPP8,ENSG00000291394
TBL1Y,ENSG00000092377
,ENSG00000291386
RNU1-2,ENSG00000291385
,ENSG00000291408
,ENSG00000291384
LINC03126,ENSG00000291400
RNU1-5P,ENSG00000291383
,ENSG00000291395
,ENSG00000291397
EIF1AXP1,ENSG00000291398
RNU1-3,ENSG00000291396
RNU1-4,ENSG00000291399
PADI2,ENSG00000291387
,ENSG00000292230
CROCCP4,ENSG00000291403
,ENSG00000292231
,ENSG00000291407
,ENSG00000292235
,ENSG00000292236
,ENSG00000292238
,ENSG00000292239
,ENSG00000292240
,ENSG00000292241
,ENSG00000292242
,ENSG00000292229
,ENSG00000292226
DAZ2,ENSG00000205944
,ENSG00000292228
,ENSG00000292227
NBPF1,ENSG00000292225
AGKP1,ENSG00000226555
NLGN4Y-AS1,ENSG00000228787
NLGN4Y,ENSG00000165246
CDY22P,ENSG00000229343
ELOCP17,ENSG00000232695
OFD1P18Y,ENSG00000235511
TRAPPC2P4,ENSG00000232914
RAB9AP3,ENSG00000223655
USP9YP20,ENSG00000230854
RNU1-40P,ENSG00000252625
USP9YP21,ENSG00000227635
XKRYP6,ENSG00000237546
ELOCP11,ENSG00000227867
CDY23P,ENSG00000231716
USP9YP26,ENSG00000234744
HSFY8P,ENSG00000233156
,ENSG00000289705
,ENSG00000225876
,ENSG00000251796
RNU6-1314P,ENSG00000252948
CYCSP48,ENSG00000233843
VCY1B,ENSG00000129862
PNPLA4P1,ENSG00000235451
,ENSG00000289706
TBL1YP1,ENSG00000225624
RPS4Y2,ENSG00000280969
HSFY4P,ENSG00000224482
,ENSG00000216844
GAPDHP17,ENSG00000229551
TMEM167AP1,ENSG00000226504
,ENSG00000254488
TOMM22P1,ENSG00000237427
NEFLP1,ENSG00000232634
,ENSG00000226918
PRORY,ENSG00000183146
,ENSG00000236615
TSPY14P,ENSG00000169849
RBMY1HP,ENSG00000169811
,ENSG00000242393
,ENSG00000228257
TTTY13,ENSG00000184991
ELOCP5,ENSG00000271123
CDY10P,ENSG00000226042
USP9YP3,ENSG00000237023
USP9YP8,ENSG00000229416
CDY11P,ENSG00000230029
HSFY6P,ENSG00000224169
USP9YP18,ENSG00000223407
CDY14P,ENSG00000226873
ELOCP16,ENSG00000227915
XKRYP3,ENSG00000236620
USP9YP25,ENSG00000224866
USP9YP29,ENSG00000232424
RNU1-97P,ENSG00000252681
RAB9AP1,ENSG00000232910
TRAPPC2P9,ENSG00000232845
OFD1P11Y,ENSG00000237302
RNU2-57P,ENSG00000252468
VDAC1P6,ENSG00000231341
EIF4A1P2,ENSG00000235001
KRT18P10,ENSG00000214207
SNX3P1Y,ENSG00000278585
RPL26P37,ENSG00000235175
PCDH11Y,ENSG00000099715
ELOCP9,ENSG00000231540
CDY15P,ENSG00000223362
XKRYP4,ENSG00000231026
USP9YP13,ENSG00000224571
USP9YP11,ENSG00000226369
TTTY3B,ENSG00000280961
USP9YP12,ENSG00000227871
RNU1-86P,ENSG00000251917
RAB9AP5,ENSG00000231423
TRAPPC2P10,ENSG00000228465
OFD1P12Y,ENSG00000232585
ELOCP10,ENSG00000234081
CDY1B,ENSG00000172352
CDY17P,ENSG00000231375
USP9YP35,ENSG00000237467
USP9YP31,ENSG00000229250
CDY18P,ENSG00000232205
,ENSG00000230977
RN7SL818P,ENSG00000274234
UBE2Q2P4Y,ENSG00000225491
LINC00265-2P,ENSG00000224827
CICP2,ENSG00000233740
,ENSG00000279274
RBMY2XP,ENSG00000234399
TTTY17B,ENSG00000227439
TRIM60P5Y,ENSG00000224210
ZNF736P12Y,ENSG00000232003
TTTY4B,ENSG00000235412
BPY2B,ENSG00000183795
,ENSG00000240566
ZNF736P4Y,ENSG00000236379
,ENSG00000274899
RBMY2YP,ENSG00000227633
,ENSG00000279115
CICP1,ENSG00000233652
LINC00265-3P,ENSG00000233944
UBE2Q2P5Y,ENSG00000223636
GOLGA2P3Y,ENSG00000172297
RN7SL725P,ENSG00000278242
,ENSG00000233619
CDY19P,ENSG00000237823
USP9YP36,ENSG00000229709
USP9YP33,ENSG00000232064
CDY20P,ENSG00000225609
ELOCP34,ENSG00000270535
OFD1P13Y,ENSG00000225287
TRAPPC2P5,ENSG00000225256
RAB9AP2,ENSG00000223856
USP9YP30,ENSG00000235004
RNU1-107P,ENSG00000252426
TTTY3,ENSG00000231141
USP9YP9,ENSG00000232614
USP9YP19,ENSG00000225326
XKRYP5,ENSG00000223406
CYCSP49,ENSG00000224240
SLC25A15P1,ENSG00000227629
PARP4P1,ENSG00000237917
CCNQP2,ENSG00000231514
CDY1,ENSG00000172288
RBMY1B,ENSG00000242875
RBMY1A1,ENSG00000234414
RFTN1P1,ENSG00000234795
,ENSG00000173357
,ENSG00000290342
BCL2L14,ENSG00000281449
TTTY11,ENSG00000180910
ARSLP1,ENSG00000224060
OFD1P6Y,ENSG00000242153
XKRY,ENSG00000250868
XKRYP7,ENSG00000244646
,ENSG00000282909
,ENSG00000288686
HSFY3P,ENSG00000227289
,ENSG00000290841
TAB3P1,ENSG00000235462
,ENSG00000290852
ANOS2P,ENSG00000241859
RBMY2EP,ENSG00000223637
GOLGA2P2Y,ENSG00000239533
GOLGA2P2Y,ENSG00000291016
,ENSG00000278212
TXLNGY,ENSG00000131002
GYG2P1,ENSG00000206159
CDY3P,ENSG00000232235
USP9YP22,ENSG00000224408
USP9YP4,ENSG00000238154
PTMAP9,ENSG00000281442
MIR1244-4,ENSG00000283344
ELOCP4,ENSG00000232924
,ENSG00000275310
LRP6,ENSG00000281324
TTTY20,ENSG00000232808
TSPY4,ENSG00000233803
FAM197Y7,ENSG00000228383
,ENSG00000286120
FAM197Y6,ENSG00000237802
,ENSG00000286173
TSPY8,ENSG00000229549
TSPY3,ENSG00000228927
RBMY2CP,ENSG00000215540
RBMY2DP,ENSG00000215507
ZNF736P9Y,ENSG00000239893
FAM197Y8,ENSG00000225560
PRKY,ENSG00000099725
XKRYP7,ENSG00000290725
RPL21P100,ENSG00000280475
BCORP1,ENSG00000215580
RNU6-545P,ENSG00000206783
,ENSG00000281874
RNU6-318P,ENSG00000207477
MANSC1,ENSG00000281818
FAM197Y8,ENSG00000293362
FAM197Y5,ENSG00000290330
FAM197Y5,ENSG00000225516
TSPY1,ENSG00000258992
RPL23AP66,ENSG00000281051
FAM197Y4,ENSG00000290373
FAM197Y4,ENSG00000274196
LOH12CR2,ENSG00000281234
TSPY9,ENSG00000238074
BORCS5,ENSG00000280689
FAM197Y3,ENSG00000290607
FAM197Y3,ENSG00000230066
,ENSG00000290332
FAM197Y2,ENSG00000234803
TSPY10,ENSG00000236424
,ENSG00000281168
DUSP16,ENSG00000280962
FAM197Y1,ENSG00000224336
TSPY25P,ENSG00000234110
TSPY16P,ENSG00000226223
,ENSG00000232617
TTTY22,ENSG00000224075
,ENSG00000228379
,ENSG00000274445
TSPY18P,ENSG00000231874
RBMY2OP,ENSG00000234950
RBMY2QP,ENSG00000236718
TSPY20P,ENSG00000243643
,ENSG00000290378
TSPY5P,ENSG00000225685
,ENSG00000278478
,ENSG00000281671
RNA5SP518,ENSG00000251766
RNA5SP519,ENSG00000252289
,ENSG00000281525
DUX4L31,ENSG00000231411
PCMTD1P1,ENSG00000226061
CDC27P2,ENSG00000237447
,ENSG00000225840
RNA5-8SP6,ENSG00000251705
DLGAP5P1,ENSG00000237195
TTTY23B,ENSG00000250204
TSPY2,ENSG00000168757
FAM197Y9,ENSG00000290448
FAM197Y9,ENSG00000234830
,ENSG00000275352
TSPY19P,ENSG00000234583
,ENSG00000235094
LINC00280,ENSG00000229643
,ENSG00000235895
TSPY17P,ENSG00000232620
,ENSG00000293672
,ENSG00000290954
,ENSG00000294545
,ENSG00000294758
,ENSG00000293305
,ENSG00000295056
TTTY23,ENSG00000239225
FAM224B,ENSG00000230663
,ENSG00000295335
TTTY2B,ENSG00000212856
TTTY1B,ENSG00000129816
TTTY7,ENSG00000147753
TTTY8B,ENSG00000185700
,ENSG00000291034
,ENSG00000291410
,ENSG00000291411
,ENSG00000291412
,ENSG00000291413
MIR4740,ENSG00000291414
MIR3186,ENSG00000291415
,ENSG00000291416
LINC01971,ENSG00000291417
,ENSG00000291418
,ENSG00000290435
ACTG1,ENSG00000291420
,ENSG00000290369
,ENSG00000297760
,ENSG00000297994
,ENSG00000229308
TTTY10,ENSG00000229236
BAHCC1,ENSG00000291421
TTTY16,ENSG00000290323
,ENSG00000291422
,ENSG00000291423
,ENSG00000291424
LINC03048,ENSG00000291425
TTTY12,ENSG00000237048
,ENSG00000298447
TTTY2,ENSG00000212855
TTTY7B,ENSG00000147761
ZFY-AS1,ENSG00000233070
,ENSG00000299745
,ENSG00000288049
,ENSG00000299844
,ENSG00000290853
,ENSG00000300212
,ENSG00000300312
,ENSG00000300595
TTTY17C,ENSG00000223641
SEPTIN14P23,ENSG00000228786
,ENSG00000301122
,ENSG00000290344
,ENSG00000291033
,ENSG00000288406
,ENSG00000303338
,ENSG00000303345
,ENSG00000277930
FAM41AY2,ENSG00000290726
,ENSG00000291032
LINC00278,ENSG00000231535
,ENSG00000304558
TTTY1,ENSG00000129845
,ENSG00000286050
TTTY11,ENSG00000290381
,ENSG00000286187
,ENSG00000305394
,ENSG00000293249
,ENSG00000305658
,ENSG00000289707
,ENSG00000306111
,ENSG00000306715
,ENSG00000286009
,ENSG00000308317
,ENSG00000286201
,ENSG00000309341
,ENSG00000291031
,ENSG00000286247
LINC00279,ENSG00000286217
,ENSG00000288260
RNU5B-4P,ENSG00000288430
ECSCR,ENSG00000288297
TTTY18,ENSG00000233699
,ENSG00000309700
SMIM33,ENSG00000288274
STING1,ENSG00000288243
,ENSG00000309903
TTTY8,ENSG00000183385
,ENSG00000310485
,ENSG00000293442
STSP1,ENSG00000227166
,ENSG00000295583
RBMY2JP,ENSG00000227204
,ENSG00000299821
XGY1,ENSG00000227447
,ENSG00000296286
RBMY2WP,ENSG00000230727
,ENSG00000306918
USP9YP28,ENSG00000224151
TTTY14,ENSG00000176728
,ENSG00000288388
NCOA4P4,ENSG00000288138
,ENSG00000275578
OFD1P1Y,ENSG00000226011
USP9YP14,ENSG00000227494
RNASEH2CP1,ENSG00000237659
XGY2,ENSG00000290840
PPP1R12BP2,ENSG00000205936
REREP1Y,ENSG00000225189
,ENSG00000305624
,ENSG00000230073
GPR143YP,ENSG00000232583
,ENSG00000309393
OFD1P15Y,ENSG00000234888
REREP2Y,ENSG00000235014
PPP1R12BP1,ENSG00000229238
,ENSG00000299596
ANKRD36P1,ENSG00000188399
,ENSG00000294742
,ENSG00000277146
OFD1P2Y,ENSG00000226611
OFD1P5Y,ENSG00000240438
RBMY2TP,ENSG00000237269
,ENSG00000288057
OFD1P10Y,ENSG00000225466
,ENSG00000235981
